Customer ID,Age,Gender,Marital Status,Annual Income,Total Purchases,Preferred Category
1000,42,Female,Married,82000,3,Electronics
1001,70,Male,Divorced,57000,35,Appliances
1002,42,Female,Single,79000,23,Appliances
1003,61,Male,Married,39000,35,Appliances
1004,28,Female,Single,26000,70,Appliances
1005,33,Male,Married,33000,65,Appliances
1006,41,Female,Married,72000,29,Electronics
1007,30,Male,Single,76000,62,Appliances
1008,44,Female,Married,20000,48,Appliances
1009,19,Female,Single,79000,69,Appliances
1010,69,Female,Married,81000,4,Electronics
1011,65,Female,Single,18000,41,Electronics
1012,30,Male,Married,45000,58,Electronics
1013,49,Female,Divorced,69000,51,Appliances
1014,46,Female,Single,16000,3,Appliances
1015,75,Female,Divorced,66000,45,Appliances
1016,49,Female,Single,88000,5,Electronics
1017,70,Male,Married,47000,7,Appliances
1018,75,Female,Single,89000,8,Appliances
1019,62,Female,Divorced,48000,42,Electronics
1020,47,Male,Married,89000,57,Appliances
1021,20,Female,Married,24000,29,Appliances
1022,74,Female,Single,61000,4,Appliances
1023,22,Male,Single,20000,33,Electronics
1024,27,Female,Married,87000,45,Electronics
1025,56,Female,Divorced,39000,36,Electronics
1026,52,Female,Divorced,55000,18,Electronics
1027,67,Female,Married,22000,62,Electronics
1028,28,Male,Divorced,76000,66,Electronics
1029,47,Female,Married,80000,52,Electronics
1030,65,Female,Single,86000,43,Electronics
1031,25,Female,Married,32000,70,Electronics
1032,35,Male,Single,58000,6,Electronics
1033,45,Male,Single,17000,27,Appliances
1034,41,Female,Divorced,38000,32,Electronics
1035,69,Male,Married,90000,35,Electronics
1036,53,Female,Single,94000,25,Electronics
1037,35,Male,Married,21000,18,Appliances
1038,70,Female,Married,16000,33,Electronics
1039,23,Male,Divorced,17000,57,Appliances
1040,44,Male,Married,29000,22,Appliances
1041,56,Female,Divorced,29000,25,Electronics
1042,57,Female,Married,71000,24,Electronics
1043,74,Male,Single,38000,44,Electronics
1044,73,Female,Single,72000,12,Electronics
1045,19,Male,Married,30000,25,Appliances
1046,32,Female,Single,42000,48,Electronics
1047,37,Female,Married,75000,56,Electronics
1048,43,Male,Single,45000,29,Appliances
1049,45,Female,Divorced,72000,11,Appliances
1050,47,Female,Divorced,68000,27,Appliances
1051,61,Male,Married,44000,49,Appliances
1052,65,Male,Married,80000,2,Appliances
1053,51,Male,Single,32000,18,Electronics
1054,59,Male,Single,24000,67,Electronics
1055,64,Male,Divorced,58000,19,Appliances
1056,23,Female,Single,23000,19,Electronics
1057,62,Female,Divorced,93000,59,Electronics
1058,39,Female,Divorced,93000,52,Electronics
1059,22,Male,Single,78000,2,Appliances
1060,22,Female,Married,30000,11,Electronics
1061,63,Male,Single,16000,68,Electronics
1062,55,Male,Divorced,87000,23,Electronics
1063,68,Male,Divorced,28000,42,Appliances
1064,66,Female,Single,52000,56,Electronics
1065,34,Female,Single,17000,45,Appliances
1066,30,Female,Divorced,75000,51,Electronics
1067,27,Male,Single,23000,21,Electronics
1068,74,Male,Divorced,74000,67,Electronics
1069,55,Female,Single,84000,53,Appliances
1070,58,Male,Single,31000,13,Electronics
1071,70,Female,Divorced,95000,60,Appliances
1072,73,Male,Divorced,62000,10,Electronics
1073,56,Female,Married,63000,7,Appliances
1074,26,Female,Single,91000,69,Appliances
1075,26,Male,Single,28000,60,Appliances
1076,69,Female,Divorced,38000,30,Electronics
1077,27,Male,Single,89000,21,Appliances
1078,41,Male,Married,23000,2,Appliances
1079,34,Female,Single,82000,6,Appliances
1080,24,Female,Single,80000,3,Appliances
1081,63,Male,Married,94000,7,Appliances
1082,52,Female,Single,27000,64,Electronics
1083,44,Male,Divorced,78000,10,Appliances
1084,55,Male,Married,25000,53,Appliances
1085,31,Male,Divorced,58000,67,Appliances
1086,44,Male,Single,24000,28,Appliances
1087,38,Male,Married,70000,61,Appliances
1088,51,Female,Married,86000,54,Appliances
1089,29,Female,Divorced,56000,55,Appliances
1090,69,Female,Divorced,48000,56,Electronics
1091,34,Male,Divorced,86000,45,Appliances
